product_name,category,slug,price,promotion_status,evidence_level,rc_product_url
Argirelin 200mg,Research Peptides,argirelin-200mg-vial,€80.00,RECOMMENDED,CLINICAL,https://rcpeptides.to/products/argirelin-200mg-vial
Matrixyl 10mg,Research Peptides,matrixyl-10mg-vial,€30.00,RECOMMENDED,CLINICAL,https://rcpeptides.to/products/matrixyl-10mg-vial
L-carnitine 5000mg,Research Peptides,l-carnitine-500mg,€20.00,CLINICAL,CLINICAL,https://rcpeptides.to/products/l-carnitine-500mg
L-glutathione 1500mg,Research Materials,l-glutathione,€35.00,CLINICAL,CLINICAL,https://rcpeptides.to/products/l-glutathione
Melatonin 10mg,Nootropics,melatonin-10mg-vial,€50.00,CLINICAL,CLINICAL,https://rcpeptides.to/products/melatonin-10mg-vial
TUDCA 100x500mg,Research Materials,tudca-100x500mg,€60.00,CLINICAL,CLINICAL,https://rcpeptides.to/products/tudca-100x500mg
5-Amino-1-MQ 50mg,Nasal,5-amino-1-mq-5mg-vial,€60.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/5-amino-1-mq-5mg-vial
AHK-CU 100mg,Research Peptides,ahk-cu-100mg-vial,€52.50,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/ahk-cu-100mg-vial
AICAR 100mg,Research Peptides,aicar-100mg,€75.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/aicar-100mg
AOD9604 10mg,GH Analogs and Secretagogues,aod9604-10mg-vial,€50.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/aod9604-10mg-vial
AOD9604 5mg,GH Analogs and Secretagogues,aod9604-5mg-vial,€30.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/aod9604-5mg-vial
ARA290 10mg,Research Peptides,ara290-10mg-vial,€60.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/ara290-10mg-vial
Adipotide 5mg,GLP,adipotide-5mg-vial,€60.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/adipotide-5mg-vial
B7-33 10mg,Research Peptides,b7-33-10mg-vial,€50.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/b7-33-10mg-vial
BPC-157 100x500mcg,Research Peptides,bpc-157-pellets-500mcgx100,€125.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/bpc-157-pellets-500mcgx100
BPC-157 10mg,Research Peptides,bpc157-10mg-vial,€37.50,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/bpc157-10mg-vial
Bronchogen 20mg,Research Peptides,bronchogen-20mg-vial,€50.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/bronchogen-20mg-vial
CJC-1295 10mg,GH Analogs and Secretagogues,cjc-1295,€60.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/cjc-1295
CJC-1295 with DAC 10mg,GH Analogs and Secretagogues,cjc-1295-with-dac-10mg-vial,€50.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/cjc-1295-with-dac-10mg-vial
Cardiogen 20mg,Bioregulators,cardiogen-20mg-vial,€47.50,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/cardiogen-20mg-vial
Cartalax 20mg,Bioregulators,cartalax-20mg-vial,€40.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/cartalax-20mg-vial
Cerebrolysin 60mg,Research Peptides,cerebrolysin-60mg-vial,€75.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/cerebrolysin-60mg-vial
Chonluten 20mg,Bioregulators,chonluten-20mg-vial,€45.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/chonluten-20mg-vial
Cortagen 20mg,Bioregulators,cortagen-20mg-vial,€50.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/cortagen-20mg-vial
Crystagen 20mg,Bioregulators,crystagen-20mg-vial,€55.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/crystagen-20mg-vial
Dihexa 100x10mg,Nootropics,dihexa-60x10mg,€135.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/dihexa-60x10mg
Epitalon 10mg,Research Peptides,epitalon-10mg-vial,€25.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/epitalon-10mg-vial
Follistatin344 1mg,Research Peptides,follistatin-344-1mg-vial,€75.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/follistatin-344-1mg-vial
GHK-CU 50mg,Research Peptides,ghk-cu-50mg-vial,€35.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/ghk-cu-50mg-vial
GHRP-2 10mg,Research Peptides,ghrp-2-10mg,€35.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/ghrp-2-10mg
GHRP-6 10mg,Research Peptides,ghrp-6-10mg-vial,€50.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/ghrp-6-10mg-vial
IGF1-LR3 1mg,Research Peptides,igf1-lr3-1mg-vial,€65.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/igf1-lr3-1mg-vial
Ipamorelin 10mg,GH Analogs and Secretagogues,ipamorelin-10mg-vial,€60.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/ipamorelin-10mg-vial
KPV 100x500mcg,Research Peptides,kpv-100x500mcg,€125.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/kpv-100x500mcg
KPV 10mg,Research Peptides,kpv-10mg-vial,€37.50,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/kpv-10mg-vial
LL-37 5mg,Nasal,ll-37-5mg-vial,€40.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/ll-37-5mg-vial
Lipo-c 10mg,GLP,lipo-c-10mg-vial,€75.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/lipo-c-10mg-vial
MOTS-c 10mg,Research Peptides,mots-c-10mg-vial,€30.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/mots-c-10mg-vial
Melanotan-II 10mg,Research Peptides,melanotan-ii-10mg-vial,€35.00,ANIMAL_DATA_ONLY,PRECLINICAL,https://rcpeptides.to/products/melanotan-ii-10mg-vial
