product_name,category,slug,price,promotion_status,evidence_level,rc_product_url
"BPC-157 10mg","Research Peptides","bpc157-10mg-vial","€37.50","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/bpc157-10mg-vial"
"TB500 10mg","Research Peptides","tb500-10mg-vial","€37.50","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/tb500-10mg-vial"
"CJC-1295 10mg","GH Analogs and Secretagogues","cjc-1295","€60.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/cjc-1295"
"AOD9604 5mg","GH Analogs and Secretagogues","aod9604-5mg-vial","€30.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/aod9604-5mg-vial"
"Semax 10mg","Nasal","semax-10mg-vial","€30.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/semax-10mg-vial"
"Ipamorelin 10mg","GH Analogs and Secretagogues","ipamorelin-10mg-vial","€60.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/ipamorelin-10mg-vial"
"KPV 10mg","Research Peptides","kpv-10mg-vial","€37.50","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/kpv-10mg-vial"
"GHK-CU 50mg","Research Peptides","ghk-cu-50mg-vial","€35.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/ghk-cu-50mg-vial"
"Thymosin alpha-1 10mg","Research Peptides","thymosin-alpha-1-10mg-vial","€65.00","PRESCRIPTION_ONLY","CLINICAL","https://rcpeptides.to/products/thymosin-alpha-1-10mg-vial"
"Argirelin 200mg","Research Peptides","argirelin-200mg-vial","€80.00","RECOMMENDED","CLINICAL","https://rcpeptides.to/products/argirelin-200mg-vial"
"Matrixyl 10mg","Research Peptides","matrixyl-10mg-vial","€30.00","RECOMMENDED","CLINICAL","https://rcpeptides.to/products/matrixyl-10mg-vial"
"MOTS-c 10mg","Research Peptides","mots-c-10mg-vial","€30.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/mots-c-10mg-vial"
"NAD+ 500mg","Research Peptides","nad-500mg-vial","€70.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/nad-500mg-vial"
"Melanotan-II 10mg","Research Peptides","melanotan-ii-10mg-vial","€35.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/melanotan-ii-10mg-vial"
"IGF1-LR3 1mg","Research Peptides","igf1-lr3-1mg-vial","€65.00","ANIMAL_DATA_ONLY","PRECLINICAL","https://rcpeptides.to/products/igf1-lr3-1mg-vial"
