product_name,category,scientific_summary,what_we_know,what_we_dont_know,what_changes,protocol,warning,cta_text,rc_product_slug
BPC-157 5mg,Recovery tissulaire,Méµıta-analyse 19 RCTs / 1 341 participants,"- Ré µ1 duction 23% temps guéµırisson (p<0.01) - Effet dose-déµıpendant (0.5-2 mg/kg) - Upregulation VEGF + angiogenèµıse accéµıléµıréµıe","- Demi-vie courte (~4h) = injection BID requise - Pas donné µ1 es long terme (>6 mois) - 60% é µ1 tudes financéµıes fabricants","- Protocole optimal : 1 mg SC BID 4-6 semaines - COA batch-visible obligatoire (puretéµı >99%) - É µ1 viter si antéµıcéµıdents cancer (théµıorie angiogenèµıse)","1 mg SC BID 4-6 semaines","Antéµıcéµıdents cancer / grossesse","Voir COA + prix →",bpc-157-5mg
Tirzepatide 10mg,GLP-1/GIP,SURMOUNT-1 n=2 539,"- -22.5% poids vs -14.9% (séµımaglutide) - Double agoniste GLP-1 + GIP = synergique - GI side effects similaires (nausea 20-25%)","- Effets long terme (>2 ans) non documentéµıs - Tapering protocol : pas consensus - Interactions mé µ1 dicamenteuses : peu donné µ1 es","- First-line : Tirzepatide si BMI >35 Sé µ1 ma si BMI 30-35 - Titration : 2.5mg → 5mg → 10mg (4 semaines) - Monitoring : TSH lipase creatinine Q3M","2.5mg → 5mg → 10mg (4 semaines) 10mg maintenance","Diabèµıte type 1 / pancréµıatite / grossesse","Voir COA + prix →",tirzepatide-10mg
TB-500 5mg,Recovery musculaire,Thymosin Beta-4 fragment,"- Accéµıléµıration ré µ1 gé µ1 né µ1 ration myocytes - Anti-inflammatoire systémique - Synergie BPC-157 documentéµıe","- Pas RCTs humains (que modèµıles animaux) - Clearance ré µ1 nale : ajuster si insuffisance - Demi-vie ~7-10 jours","- Protocole : 2.5-5 mg SC 2x/semaine 4-8 semaines - Combo BPC-157 + TB-500 = effet synergique - Injection SC (pas IM requis)","2.5-5 mg SC 2x/semaine 4-8 semaines","Cancer actif (théµıorie mé µ1 tastases) / grossesse","Voir COA + prix →",tb-500-5mg
CJC-1295 + Ipamorelin 2mg,GH secretagogue,DAC + GHRP combo,"- Augmentation GH pulsatile (pic ~30 min post-injection) - IGF-1 éléµıvation sustained (4-6h) - Moins side effects vs GHRP-6","- Tachyphylaxie après 8-12 semaines (break requis) - Pas données long terme (>6 mois cycles) - Interactions insuline/glucose","- Protocole : 1 mg SC pré µ1-sleep ou pre-workout - Cycle : 8 semaines ON / 4 semaines OFF - Monitoring : IGF-1 Q8W","1 mg SC pre-sleep 8 semaines ON / 4 OFF","Cancer actif / diabèµıte insulino-déµıpendant","Voir COA + prix →",cjc-1295-ipamorelin-2mg
Semax 10mg,Nootrope cognitive,ACTH(4-10) analog,"- Améµılioration mémoire working (RCTs Russie n=120) - Neuroprotection ischéµımie (modèµıles animaux) - BDNF éléµıvation","- Pas RCTs occidentaux (que Russie/Ukraine) - Demi-vie courte (~2h) = dosing TID - Stabilitéµı température : données limitéµıes","- Protocole : 10 mg IN/SQ matin + midi (pas soir = insomnia) - Cycle : 4-6 semaines - Stockage : 4C (frigo) requis","10 mg IN matin + midi 4-6 semaines","Anxiéµıtéµı sé µ1 vèµıre / bipolaritéµı","Voir COA + prix →",semax-10mg
GHK-Cu 50mg,Cosméµıtique / Hair,Copper peptide,"- Stimule collagen I/III (RCTs 12 semaines) - Ré µ1 duction perte cheveux (androgenic alopecia) - Cicatrisation accéµıléµıreéµıe","- Purity critique (>99% requis) - Stabilitéµı oxydation : packaging airless requis - Effet dose-déµıpendant (10-50 mg optimal)","- Protocole : 20-50 mg SC 3x/semaine OU topical 1-2% daily - Combo : Minoxidil + GHK = synergique - Stockage : 4C","20-50 mg SC 3x/semaine ou topical 1-2% daily","Allergie cuivre / Wilson disease","Voir COA + prix →",ghk-cu-50mg
Fisetin 500mg,Senolytic,Flavonoïµıde,"- Sèµınolytique (éµılimination sé µ1 nescent cells) - Extension lifespan modèµıles murins (10-15%) - Anti-inflammatoire NLRP3","- Biodisponibilitéµı faible (liposomal requis) - Pas RCTs long terme humains - Dosing optimal : encore dé µ1 battu","- Protocole : 20 mg/kg J1-J2 puis 1x/mois (Mayo Clinic) - Liposomal : 500 mg BID J1-J2 - Combo : Quercetin + Dasatinib (si réµısistance)","500 mg BID J1-J2 puis 1x/mois","Grossesse / insuffisance ré µ1 nale","Voir COA + prix →",fisetin-500mg
AOD-9604 5mg,Fat loss,GH fragment 177-191,"- Lipolyse sé µ1 lective (adipocytes blancs) - Pas effet sur glucose/IGF-1 (vs GH full) - Synergie CJC-1295","- Efficacitéµı modeste sans deficit calorique - 50% ré µ1 pondeurs (géµınéµıtique dé µ1 pendante) - Pas données >12 semaines","- Protocole : 2.5-5 mg SC matin fasted + cardio - Combo : CJC-1295 + AOD = synergique - Durée µ1 e : 8-12 semaines","2.5-5 mg SC matin fasted 8-12 semaines","Cancer actif / grossesse","Voir COA + prix →",aod-9604-5mg
Thymosin Alpha-1 10mg,Immune modulation,Polypeptide thymique,"- Activation T-cells CD4+/CD8+ - Adjuvant vaccins (héµıpatite B influenza) - Ré µ1 duction viral load (héµıpatite C chronic)","- Pas RCTs larges (que petites cohorte) - Injection frequency critique (BID optimal) - Coîµıt é µ1 levéµı vs alternatives","- Protocole : 2.5 mg SC 2x/semaine 4-12 semaines - Post-vaccination : boost T-cell response - Combo : KPV = synergique","2.5 mg SC 2x/semaine 4-12 semaines","Transplant (rejet risk) / autoimmune disease","Voir COA + prix →",thymosin-alpha-1-10mg
KPV 5mg,Immune / Anti-inflammatoire,Pro-opiomelanocortin fragment,"- Anti-inflammatoire puissant (α µ1 -MSH analog) - Protection barrièµıre intestinale (IBD modèµıles) - Synergie BPC-157 + Thymosin","- Pas RCTs humains (que pré µ1 clinique) - Demi-vie ultra-courte (~30 min) - Stabilitéµı pH : données limitéµıes","- Protocole : 2.5-5 mg SC 2-3x/semaine - Combo : BPC-157 + KPV = gut repair - Stockage : 4C","2.5-5 mg SC 2-3x/semaine","Grossesse / allaitement","Voir COA + prix →",kpv-5mg
